organism_name	infraspecific_name	lineage	representative_genome_org	representative_genome_acc	representative_genome_uniprot_acc	genome_assembly_id	taxonomy_id	bco_id	schema_version	analysis_platform	analysis_platform_object_id	strain	bioproject	biosample	sra_run_id	ngs_read_file_name	ngs_read_file_source	ngs_gc_content	avg_phred_score	min_read_length	num_reads	num_reads_unique	avg_read_length	max_read_length	max_duplicate_read	strategy	instrument	id_method	coding_system	percent_coding	percent_not_coding	complexity_percent	non_complex_percent	stdev_quality	avg_quality_a	avg_quality_t	avg_quality_g	avg_quality_c	count_a	count_c	count_g	count_t	count_n	percent_a	percent_c	percent_g	percent_t	count_all_wn	count_all		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039461735.1	11320	ARGOS_000087	v1.6	HIVE	65844		PRJNA1102327	SAMN41019267	SRR28752585	SRR28752585_2.fastq	SRA	46.81%	32.744522	35	189299	111313	241.977248	301	369	WGS	Illumina MiSeq		Standard	86.10%	13.90%	99.81%	0.19%	8.441607	32.569366	33.078486	32.602785	32.705561	12175720	10725183	10714043	12184208	6897	26.58103	23.414337	23.390017	26.59956	45806051	45799154		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039461735.1	11320	ARGOS_000087	v1.6	HIVE	65842		PRJNA1102327	SAMN41019267	SRR28752585	SRR28752585_1.fastq	SRA	46.79%	32.969533	35	189299	104801	242.004326	301	415	WGS	Illumina MiSeq		Standard	86.41%	13.59%	99.87%	0.13%	7.897822	32.921167	33.256672	32.75025	32.918036	12212492	10721332	10712519	12160852	3982	26.658324	23.403311	23.384073	26.5456	45811177	45807195		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039448205.1	11320	ARGOS_000087	v1.6	HIVE	65339		PRJNA1102327	SAMN41106766	SRR28834961	SRR28834961_2.fastq	SRA	46.16%	35.299576	35	229475	85346	147.771692	151	1100	WGS	Illumina iSeq 100		Standard	95.43%	4.57%	99.60%	0.40%	18.384006	35.275711	34.471395	35.714202	35.87017	9206577	7841449	7806454	9045524	9905	27.150108	23.124359	23.021159	26.675164	33909909	33900004		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039448205.1	11320	ARGOS_000087	v1.6	HIVE	65337		PRJNA1102327	SAMN41106766	SRR28834961	SRR28834961_1.fastq	SRA	46.19%	35.81404	35	229475	69338	147.758475	151	1053	WGS	Illumina iSeq 100		Standard	96.23%	3.77%	99.79%	0.21%	18.466941	35.890523	35.193868	36.018963	36.232583	9215939	7883812	7771950	9025305	9870	27.180148	23.251366	22.921457	26.61792	33906876	33897006		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039461755.1	11320	ARGOS_000087	v1.6	HIVE	65908		PRJNA1102327	SAMN41019271	SRR28752516	SRR28752516_2.fastq	SRA	47.57%	32.57944	35	227488	137177	234.473229	301	368	WGS	Illumina MiSeq		Standard	83.58%	16.42%	99.79%	0.21%	8.541572	32.384329	32.942262	32.456642	32.517205	13974518	12681671	12689943	13985185	8529	26.199022	23.77523	23.790738	26.21902	53339846	53331317		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039461755.1	11320	ARGOS_000087	v1.6	HIVE	65906		PRJNA1102327	SAMN41019271	SRR28752516	SRR28752516_1.fastq	SRA	47.55%	32.974352	35	227488	128017	234.399929	301	441	WGS	Illumina MiSeq		Standard	83.97%	16.03%	99.86%	0.14%	7.566642	32.908662	33.260014	32.780048	32.926257	13993990	12688843	12666315	13969943	4080	26.243732	23.796115	23.753867	26.198635	53323171	53319091		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039461725.1	11320	ARGOS_000087	v1.6	HIVE	65837		PRJNA1102327	SAMN41019265	SRR28752587	SRR28752587_2.fastq	SRA	46.57%	32.563318	35	239169	155096	233.998056	301	349	WGS	Illumina MiSeq		Standard	68.95%	31.05%	99.20%	0.80%	7.808508	32.379645	32.932849	32.454642	32.458757	14947405	12999074	13060883	14948707	9012	26.708449	23.227115	23.337558	26.710775	55965081	55956069		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039461725.1	11320	ARGOS_000087	v1.6	HIVE	65835		PRJNA1102327	SAMN41019265	SRR28752587	SRR28752587_1.fastq	SRA	46.51%	32.903707	35	239169	146545	233.908926	301	426	WGS	Illumina MiSeq		Standard	69.11%	30.89%	99.28%	0.72%	7.090753	32.864383	33.187853	32.700129	32.826528	14989264	12993635	13022523	14933808	4534	26.793449	23.226244	23.277881	26.694321	55943764	55939230		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039461785.1	11320	ARGOS_000087	v1.6	HIVE	65931		PRJNA1102327	SAMN41019355	SRR28752490	SRR28752490_2.fastq	SRA	46.66%	35.659045	35	216212	68495	145.78429	151	1197	WGS	Illumina iSeq 100		Standard	95.89%	4.11%	99.63%	0.37%	17.150183	35.631836	35.151228	35.880842	36.046436	8436925	7352045	7348568	8366080	16695	26.766628	23.324784	23.313753	26.541868	31520313	31503618		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039461785.1	11320	ARGOS_000087	v1.6	HIVE	65929		PRJNA1102327	SAMN41019355	SRR28752490	SRR28752490_1.fastq	SRA	46.64%	36.051302	35	216212	58520	145.768893	151	1238	WGS	Illumina iSeq 100		Standard	96.41%	3.59%	99.77%	0.23%	16.627413	36.101903	35.646307	36.137391	36.365803	8463848	7385366	7305467	8345573	16730	26.854879	23.432972	23.179461	26.479605	31516984	31500254		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039452055.1	11320	ARGOS_000087	v1.6	HIVE	65334		PRJNA1102327	SAMN41106763	SRR28834886	SRR28834886_2.fastq	SRA	47.16%	33.567374	35	124341	95340	214.302788	251	280	WGS	Illumina MiSeq		Standard	85.09%	14.91%	99.91%	0.09%	11.372903	33.486534	33.955834	33.067931	33.719052	7032280	6308762	6257698	7045604	2279	26.390886	23.675653	23.484019	26.440889	26646623	26644344		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039452055.1	11320	ARGOS_000087	v1.6	HIVE	65332		PRJNA1102327	SAMN41106763	SRR28834886	SRR28834886_1.fastq	SRA	47.09%	36.793239	35	124341	77824	212.596593	251	361	WGS	Illumina MiSeq		Standard	89.29%	10.71%	99.94%	0.06%	8.20271	36.774277	37.009568	36.522026	36.844042	7013191	6211333	6234838	6972758	2353	26.530474	23.497094	23.586012	26.377518	26434473	26432120		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039438925.1	11320	ARGOS_000087	v1.6	HIVE	65293		PRJNA1102327	SAMN41106761	SRR28834940	SRR28834940_2.fastq	SRA	47.49%	35.819422	35	153231	103288	210.372568	251	379	WGS	Illumina MiSeq		Standard	69.24%	30.76%	99.91%	0.09%	9.841248	35.756696	36.034232	35.521291	35.949102	8452550	7653568	7655006	8472052	2423	26.221166	23.742596	23.747057	26.281665	32235599	32233176		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039438925.1	11320	ARGOS_000087	v1.6	HIVE	65291		PRJNA1102327	SAMN41106761	SRR28834940	SRR28834940_1.fastq	SRA	47.45%	36.881182	35	153231	94999	209.928663	251	437	WGS	Illumina MiSeq		Standard	70.00%	30.00%	99.92%	0.08%	8.458505	36.88934	37.066784	36.615958	36.932896	8475085	7618523	7643848	8427702	2421	26.346667	23.683856	23.762584	26.199367	32167579	32165158		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039453385.1	11320	ARGOS_000087	v1.6	HIVE	65346		PRJNA1102327	SAMN41106765	SRR28834962	SRR28834962_2.fastq	SRA	46.14%	35.272062	35	200578	75551	147.715188	151	810	WGS	Illumina iSeq 100		Standard	95.66%	4.34%	99.55%	0.45%	16.073112	35.249298	34.435239	35.683994	35.852673	8065811	6850519	6814479	7888158	9450	27.223226	23.121448	22.999808	26.623623	29628417	29618967		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039453385.1	11320	ARGOS_000087	v1.6	HIVE	65344		PRJNA1102327	SAMN41106765	SRR28834962	SRR28834962_1.fastq	SRA	46.13%	35.84282	35	200578	59573	147.695635	151	782	WGS	Illumina iSeq 100		Standard	96.55%	3.45%	99.76%	0.24%	15.886584	35.918889	35.223199	36.037725	36.271072	8073502	6880083	6781914	7879616	9380	27.252792	23.224305	22.892927	26.598313	29624495	29615115		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039461775.1	11320	ARGOS_000087	v1.6	HIVE	65918		PRJNA1102327	SAMN41019273	SRR28752514	SRR28752514_2.fastq	SRA	46.80%	32.509526	35	234811	145091	242.808608	301	362	WGS	Illumina MiSeq		Standard	84.51%	15.49%	99.79%	0.21%	8.586147	32.325698	32.877986	32.359182	32.449884	15161999	13342508	13335464	15165472	8689	26.593405	23.402107	23.389752	26.599496	57014132	57005443		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039461775.1	11320	ARGOS_000087	v1.6	HIVE	65916		PRJNA1102327	SAMN41019273	SRR28752514	SRR28752514_1.fastq	SRA	46.75%	32.925555	35	234811	133980	242.720256	301	508	WGS	Illumina MiSeq		Standard	84.86%	15.14%	99.85%	0.15%	7.95651	32.882622	33.216251	32.697966	32.871506	15199385	13335474	13309468	15144360	4699	26.668682	23.398283	23.352654	26.572136	56993386	56988687		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039462295.1	11320	ARGOS_000087	v1.6	HIVE	66050		PRJNA1102327	SAMN41019293	SRR28752665	SRR28752665_2.fastq	SRA	46.59%	32.616139	35	186246	111256	241.634607	301	488	WGS	Illumina MiSeq		Standard	80.42%	19.58%	99.81%	0.19%	9.594131	32.408513	32.980326	32.490039	32.562322	12008970	10485017	10478604	12024064	6824	26.684537	23.298237	23.283987	26.718077	45003479	44996655		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039462295.1	11320	ARGOS_000087	v1.6	HIVE	66048		PRJNA1102327	SAMN41019293	SRR28752665	SRR28752665_1.fastq	SRA	46.55%	32.961553	35	186246	103600	241.571153	301	663	WGS	Illumina MiSeq		Standard	80.76%	19.24%	99.88%	0.12%	9.077659	32.898264	33.250503	32.755462	32.909493	12054811	10473883	10466669	11992636	3662	26.793434	23.27961	23.263575	26.655242	44991661	44987999		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039461645.1	11320	ARGOS_000087	v1.6	HIVE	65706		PRJNA1102327	SAMN41019257	SRR28752596	SRR28752596_2.fastq	SRA	46.20%	32.458333	35	188588	112814	256.384261	301	517	WGS	Illumina MiSeq		Standard	85.53%	14.47%	99.80%	0.20%	10.207809	32.234443	32.84586	32.323308	32.403466	13017839	11171531	11162706	12992019	6900	26.923622	23.10507	23.086818	26.870221	48350995	48344095		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039461645.1	11320	ARGOS_000087	v1.6	HIVE	65704		PRJNA1102327	SAMN41019257	SRR28752596	SRR28752596_1.fastq	SRA	46.15%	32.950574	35	188588	101126	256.332073	301	616	WGS	Illumina MiSeq		Standard	86.02%	13.98%	99.88%	0.12%	9.633946	32.891256	33.237968	32.711142	32.923748	13030375	11186235	11121236	12998787	4520	26.955036	23.140191	23.005732	26.889692	48341153	48336633		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039459945.1	11320	ARGOS_000087	v1.6	HIVE	65437		PRJNA1102327	SAMN41019183	SRR28752457	SRR28752457_2.fastq	SRA	46.02%	35.723781	35	109661	78541	218.718624	251	226	WGS	Illumina MiSeq		Standard	86.92%	13.08%	99.86%	0.14%	8.722726	35.609059	35.966791	35.360582	35.932844	6444836	5536299	5501070	6501459	1239	26.870386	23.082432	22.935552	27.106464	23984903	23983664		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039459945.1	11320	ARGOS_000087	v1.6	HIVE	65435		PRJNA1102327	SAMN41019183	SRR28752457	SRR28752457_1.fastq	SRA	45.97%	36.152084	35	109661	72745	218.405495	251	242	WGS	Illumina MiSeq		Standard	87.77%	12.23%	99.89%	0.11%	7.873612	36.132195	36.391124	35.814131	36.23634	6526407	5488557	5520753	6413623	1225	27.249491	22.91619	23.050617	26.778587	23950565	23949340		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039462565.1	11320	ARGOS_000087	v1.6	HIVE	66122		PRJNA1102327	SAMN41019249	SRR28752604	SRR28752604_2.fastq	SRA	49.18%	34.93296	35	141597	76534	144.621362	151	760	WGS	Illumina iSeq 100		Standard	87.58%	12.42%	99.48%	0.52%	15.408306	34.774367	34.529166	35.139031	35.310141	5171411	5016203	5051551	5232451	6335	25.253557	24.495629	24.668244	25.551634	20477951	20471616		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039462565.1	11320	ARGOS_000087	v1.6	HIVE	66120		PRJNA1102327	SAMN41019249	SRR28752604	SRR28752604_1.fastq	SRA	49.15%	35.449536	35	141597	69604	144.534143	151	836	WGS	Illumina iSeq 100		Standard	88.14%	11.86%	99.68%	0.32%	15.22532	35.365416	35.195914	35.532899	35.715586	5195895	5032274	5024172	5206925	6335	25.388431	24.588938	24.54935	25.442326	20465601	20459266		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039462255.1	11320	ARGOS_000087	v1.6	HIVE	66024		PRJNA1102327	SAMN41019285	SRR28752674	SRR28752674_2.fastq	SRA	47.43%	35.662457	35	155982	52383	147.224366	151	1150	WGS	Illumina iSeq 100		Standard	93.90%	6.10%	99.66%	0.34%	19.158286	35.590334	35.121027	35.894693	36.109114	6046082	5448489	5439335	6022465	7980	26.32812	23.725857	23.685995	26.225278	22964351	22956371		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039462255.1	11320	ARGOS_000087	v1.6	HIVE	66020		PRJNA1102327	SAMN41019285	SRR28752674	SRR28752674_1.fastq	SRA	47.42%	35.894502	35	155982	48773	147.212666	151	1052	WGS	Illumina iSeq 100		Standard	94.27%	5.73%	99.84%	0.16%	18.494195	35.902634	35.430375	36.021624	36.269808	6057304	5469936	5414935	6012406	7945	26.379084	23.821142	23.581617	26.183557	22962526	22954581		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039461705.1	11320	ARGOS_000087	v1.6	HIVE	65784		PRJNA1102327	SAMN41019263	SRR28752589	SRR28752589_2.fastq	SRA	47.60%	32.503756	35	168775	107766	236.320853	301	257	WGS	Illumina MiSeq		Standard	83.47%	16.53%	99.79%	0.21%	7.746582	32.296681	32.877256	32.387771	32.436056	10438758	9487912	9496231	10456108	6043	26.172106	23.78814	23.808997	26.215606	39885052	39879009		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039461705.1	11320	ARGOS_000087	v1.6	HIVE	65782		PRJNA1102327	SAMN41019263	SRR28752589	SRR28752589_1.fastq	SRA	47.58%	32.982347	35	168775	99279	236.250618	301	357	WGS	Illumina MiSeq		Standard	83.85%	16.15%	99.86%	0.14%	7.07647	32.928855	33.269682	32.768439	32.938978	10462222	9490312	9479923	10437565	3176	26.238733	23.801231	23.775176	26.176895	39873198	39870022		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039461605.1	11320	ARGOS_000087	v1.6	HIVE	65650		PRJNA1102327	SAMN41019252	SRR28752601	SRR28752601_2.fastq	SRA	46.57%	35.076228	35	119730	59622	140.860052	151	411	WGS	Illumina iSeq 100		Standard	93.12%	6.88%	99.44%	0.56%	11.637012	34.909447	34.679249	35.294883	35.505007	4503228	3915032	3935898	4504611	6405	26.701343	23.213707	23.337429	26.709544	16865174	16858769		
Influenza A virus		Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Alphainfluenzavirus influenzae				GCA_039461605.1	11320	ARGOS_000087	v1.6	HIVE	65648		PRJNA1102327	SAMN41019252	SRR28752601	SRR28752601_1.fastq	SRA	46.55%	35.586166	35	119730	52440	140.747883	151	473	WGS	Illumina iSeq 100		Standard	93.95%	6.05%	99.65%	0.35%	12.009039	35.505112	35.30018	35.682867	35.910244	4508210	3925701	3916350	4495113	6370	26.752187	23.295518	23.240028	26.674468	16851744	16845374		
