organism_name	assembly_gc_content	phred_average	average_ngs_gc_content	Family	host	state_abbr	genome_assembly_id
Influenza A virus	45.7	35.3	46.3	Viruses	Cattle	TX	GCA_039462585.1
Influenza A virus	45.8	32.8	46.4	Viruses	Cattle	TX	GCA_039462665.1
Influenza A virus	45.7	35.4	46.4	Viruses	Cattle	TX	GCA_039462605.1
Influenza A virus	45.7	36	46.9	Viruses	Cattle	TX	GCA_039462755.1
Influenza A virus	45.7	32.8	45.8	Viruses	Cattle	TX	GCA_039462685.1
Influenza A virus	45.7	32.8	47.1	Viruses	Cattle	TX	GCA_039462775.1
Influenza A virus	49.8	32.8	46.9	Viruses	Cattle	TX	GCA_039462725.1
Influenza A virus	45.9	34.9	47.3	Viruses	Cattle	TX	GCA_039462625.1
Influenza A virus	45.7	32.8	47.4	Viruses	Cattle	TX	GCA_039462745.1
Influenza A virus	45.7	32.7	47.8	Viruses	Cattle	TX	GCA_039462765.1
Influenza A virus	45.8	32.6	47.8	Viruses	Cattle	TX	GCA_039462635.1
Influenza A virus	45.7	36	47.3	Viruses	Cattle	TX	GCA_039462695.1
Influenza A virus	45.7	35.2	46.3	Viruses	Cattle	TX	GCA_039462645.1
Influenza A virus	45.7	36.1	46.2	Viruses	Cattle	TX	GCA_039462735.1
Influenza A virus	45.8	32.8	47.4	Viruses	Cattle	TX	GCA_039462615.1
Influenza A virus	45.9	35.6	53.6	Viruses	Cattle	TX	GCA_039462815.1
Influenza A virus	45.8	32.8	46.8	Viruses	Cattle	TX	GCA_039462855.1
Influenza A virus	45.6	32.8	47.5	Viruses	Cattle	TX	GCA_039462785.1
Influenza A virus	45.8	32.8	48.5	Viruses	Cattle	TX	GCA_039462955.1
Influenza A virus	45.9	32.8	46.9	Viruses	Cattle	TX	GCA_039462875.1
Influenza A virus	45.7	35.8	47.9	Viruses	Cattle	TX	GCA_039463015.1
Influenza A virus	45.9	32.7	47.6	Viruses	Cattle	TX	GCA_039462895.1
Influenza A virus	45.8	35.8	48.2	Viruses	Cattle	TX	GCA_039463035.1
Influenza A virus	49.7	35.8	47.5	Viruses	Cattle	TX	GCA_039462805.1
Influenza A virus	45.8	32.8	47.9	Viruses	Cattle	TX	GCA_039462935.1
Influenza A virus	45.8	36	47.7	Viruses	Cattle	NM	GCA_039463025.1
Influenza A virus	45.9	35.6	49.2	Viruses	Cattle	TX	GCA_039462835.1
Influenza A virus	45.8	35.9	47.4	Viruses	Cattle	TX	GCA_039462995.1
Influenza A virus	45.9	32.6	47	Viruses	Cattle	TX	GCA_039462915.1
Influenza A virus	45.9	35.6	50.2	Viruses	Cattle	TX	GCA_039462795.1
Influenza A virus	45.8	32.8	48.4	Viruses	Cattle	TX	GCA_039462975.1
Influenza A virus	49.8	36.4	47.3	Viruses	Cattle	TX	GCA_039463285.1
Influenza A virus	45.8	32.6	48.9	Viruses	Cattle	TX	GCA_039463225.1
Influenza A virus	46.1	35	47	Viruses	Cat	NM	GCA_039463075.1
Influenza A virus	45.8	35.8	45.9	Viruses	Cattle	MI	GCA_039463725.1
Influenza A virus	45.7	35.9	48.2	Viruses	Cattle	TX	GCA_039463775.1
Influenza A virus	45.7	36.2	45.9	Viruses	Cattle	TX	GCA_039463735.1
Influenza A virus	45.9	35.5	48.6	Viruses	Cattle	TX	GCA_039463205.1
Influenza A virus	45.8	36.9	47.3	Viruses	Cattle	TX	GCA_039463365.1
Influenza A virus	45.8	36.8	46.9	Viruses	Cattle	TX	GCA_039463325.1
Influenza A virus	45.7	36	47.3	Viruses	Cattle	TX	GCA_039463755.1
Influenza A virus	45.8	32.8	46.6	Viruses	Cat	TX	GCA_039463295.1
Influenza A virus	45.9	35.7	46.6	Viruses	Cat	TX	GCA_039463505.1
Influenza A virus	45.8	36.9	47.1	Viruses	Cattle	TX	GCA_039463245.1
Influenza A virus	45.8	36	47.1	Viruses	Cattle	TX	GCA_039463715.1
Influenza A virus	45.8	32.8	47.4	Viruses	Cattle	TX	GCA_039463635.1
Influenza A virus	45.8	32.7	45.8	Viruses	Cattle	MI	GCA_039463765.1
Influenza A virus	45.8	32.7	48.2	Viruses	Cattle	MI	GCA_039463745.1
Influenza A virus	45.8	36.2	45.9	Viruses	Cattle	KS	GCA_039463695.1
Influenza A virus	45.8	36.2	52.2	Viruses	Cattle	TX	GCA_039463345.1
Influenza A virus	45.8	35.5	46.4	Viruses	Cat	TX	GCA_039463115.1
Influenza A virus	45.8	35.9	47.4	Viruses	Cattle	KS	GCA_039463905.1
Influenza A virus	45.9	35.8	47.3	Viruses	Cattle	TX	GCA_039463835.1
Influenza A virus	45.8	32.7	47.5	Viruses	Cattle	TX	GCA_039463975.1
Influenza A virus	45.8	35.7	46.4	Viruses	Cattle	TX	GCA_039463895.1
Influenza A virus	45.8	36	46.7	Viruses	Cattle	TX	GCA_039463955.1
Influenza A virus	45.8	35.9	46.2	Viruses	Cattle	KS	GCA_039463945.1
Influenza A virus	45.9	32.7	51.8	Viruses	Cattle	TX	GCA_039463815.1
Influenza A virus	45.8	36	48	Viruses	Cattle	KS	GCA_039463925.1
Influenza A virus	45.8	36	47.4	Viruses	Cattle	KS	GCA_039463885.1
Influenza A virus	45.8	35.7	48.1	Viruses	Cattle	NM	GCA_039463985.1
Influenza A virus	45.8	32.8	46.8	Viruses	Cattle	TX	GCA_039463935.1
Influenza A virus	45.8	32.8	46.7	Viruses	Cattle	TX	GCA_039463995.1
Influenza A virus	45.9	32.6	47.2	Viruses	Cattle	TX	GCA_039463855.1
Influenza A virus	45.8	32.7	46.8	Viruses	Cattle	TX	GCA_039463915.1
Influenza A virus	45.8	35.8	46.9	Viruses	Cattle	TX	GCA_039463875.1
Influenza A virus	45.8	35.9	48.7	Viruses	Cattle	KS	GCA_039463965.1
Influenza A virus	45.8	35.5	48.8	Viruses	Cattle	TX	GCA_039464255.1
Influenza A virus	45.8	35.9	47.4	Viruses	Cattle	TX	GCA_039464055.1
Influenza A virus	45.8	32.8	46.9	Viruses	Cattle	TX	GCA_039464015.1
Influenza A virus	45.8	36.1	46.2	Viruses	Cattle	TX	GCA_039464235.1
Influenza A virus	46.1	35.4	46.3	Viruses	Cat	NM	GCA_039464075.1
Influenza A virus	46.1	35	46.7	Viruses	Cat	NM	GCA_039464095.1
Influenza A virus	45.8	35.9	49	Viruses	Cattle	TX	GCA_039464035.1
Influenza A virus	45.7	35.1	47.7	Viruses	Cattle	TX	GCA_039464005.1
Influenza A virus	45.8	32.5	44.6	Viruses	Cattle	TX	GCA_039464065.1
Influenza A virus	45.7	32.7	44.2	Viruses	Cattle	TX	GCA_039464125.1
Influenza A virus	45.7	32.7	48	Viruses	Cattle	TX	GCA_039464025.1
Influenza A virus	45.7	32.7	47.7	Viruses	Cattle	TX	GCA_039464045.1
Influenza A virus	45.8	35.7	46.4	Viruses	Cat	TX	GCA_039464115.1
Influenza A virus	45.8	32.8	46.9	Viruses	Cattle	TX	GCA_039464085.1
Influenza A virus	45.9	32.6	46.5	Viruses	Cattle	TX	GCA_039464105.1
Influenza A virus	45.7	35.7	49.1	Viruses	Cattle	ID	GCA_039464315.1
Influenza A virus	45.8	36	46.7	Viruses	Cattle	OH	GCA_039464495.1
Influenza A virus	45.8	36.2	46.4	Viruses	Cattle	MI	GCA_039464675.1
Influenza A virus	45.9	35.9	47.2	Viruses	Cattle	TX	GCA_039464395.1
Influenza A virus	45.7	36	46.5	Viruses	Cattle	NM	GCA_039464435.1
Influenza A virus	45.9	35.7	46	Viruses	Cat	TX	GCA_039464545.1
Influenza A virus	45.7	34.8	49.4	Viruses	Cattle	ID	GCA_039464275.1
Influenza A virus	45.7	35.2	47.1	Viruses	Cattle	TX	GCA_039464285.1
Influenza A virus	43.9	36	46.6	Viruses	Cattle	OH	GCA_039464515.1
Influenza A virus	45.8	36.7	47.3	Viruses	Cattle	TX	GCA_039464305.1
Influenza A virus	45.9	36	46.4	Viruses	Cattle	OH	GCA_039464475.1
Influenza A virus	45.9	36.1	47.8	Viruses	Cattle	NM	GCA_039464415.1
Influenza A virus	45.7	34.8	49.1	Viruses	Cattle	ID	GCA_039464295.1
Influenza A virus	45.8	36.6	47.8	Viruses	Cattle	TX	GCA_039464365.1
Influenza A virus	45.9	35.9	46.4	Viruses	Cattle	OH	GCA_039464455.1
Influenza A virus	45.8	35.7	47.5	Viruses	Cattle	SD	GCA_039464885.1
Influenza A virus	45.8	35.7	47.1	Viruses	Cattle	NM	GCA_039464765.1
Influenza A virus	45.8	36	46.6	Viruses	Cattle	MI	GCA_039464715.1
Influenza A virus	45.8	35.6	48.3	Viruses	Cattle	SD	GCA_039464905.1
Influenza A virus	45.8	35.7	45.4	Viruses	Cattle	MI	GCA_039464725.1
Influenza A virus	45.8	36	47.3	Viruses	Cattle	NM	GCA_039464835.1
Influenza A virus	45.8	36	45	Viruses	Cattle	MI	GCA_039464695.1
Influenza A virus	45.8	35.8	46.3	Viruses	Chicken	MI	GCA_039464795.1
Influenza A virus	45.8	35.6	49	Viruses	Cattle	SD	GCA_039464925.1
Influenza A virus	45.8	32.6	48	Viruses	Cattle	MI	GCA_039464775.1
Influenza A virus	45.8	35.2	48.1	Viruses	Cattle	MI	GCA_039464855.1
Influenza A virus	45.6	35.8	46.1	Viruses	Raccoon	NM	GCA_039464685.1
Influenza A virus	45.8	35.7	46.9	Viruses	Cattle	MI	GCA_039464805.1
Influenza A virus	45.8	35.7	47.6	Viruses	Cattle	NM	GCA_039464785.1
Influenza A virus	45.8	35.8	47.9	Viruses	Cattle	NM	GCA_039464745.1
Influenza A virus	45.8	35.9	47.3	Viruses	Cattle	KS	GCA_039464975.1
Influenza A virus	45.8	37.6	47.3	Viruses	Cattle	TX	GCA_039465145.1
Influenza A virus	45.8	35.9	47.6	Viruses	Cattle	KS	GCA_039464935.1
Influenza A virus	45.8	36.1	47	Viruses	Cattle	KS	GCA_039464995.1
Influenza A virus	45.7	32.7	46.5	Viruses	Cattle	TX	GCA_039465165.1
Influenza A virus	45.8	32.7	46.6	Viruses	Cattle	TX	GCA_039465075.1
Influenza A virus	45.9	35.8	47.3	Viruses	Cattle	NM	GCA_039465055.1
Influenza A virus	45.8	35.6	48.2	Viruses	Cattle	SD	GCA_039464945.1
Influenza A virus	45.8	32.7	46.8	Viruses	Cattle	TX	GCA_039465105.1
Influenza A virus	45.8	35.7	46.9	Viruses	Chicken	MI	GCA_039464965.1
Influenza A virus	45.8	35.9	47	Viruses	Cattle	KS	GCA_039464955.1
Influenza A virus	49.7	32.8	48	Viruses	Cattle	TX	GCA_039465085.1
Influenza A virus	45.8	35.7	46.2	Viruses	Cattle	NM	GCA_039465795.1
Influenza A virus	45.8	36.1	47	Viruses	Cattle	NM	GCA_039465455.1
Influenza A virus	45.8	36	46.9	Viruses	Cattle	OH	GCA_039465495.1
Influenza A virus	45.8	36.1	47	Viruses	Cattle	MI	GCA_039465775.1
Influenza A virus	45.7	35	47.3	Viruses	Cattle	ID	GCA_039465335.1
Influenza A virus	45.8	36	46.5	Viruses	Cattle	OH	GCA_039465555.1
Influenza A virus	45.9	36	46.5	Viruses	Cattle	MI	GCA_039465755.1
Influenza A virus	45.8	36	46.3	Viruses	Cattle	OH	GCA_039465475.1
Influenza A virus	45.8	34.9	47.9	Viruses	Cattle	ID	GCA_039465355.1
Influenza A virus	45.7	35.7	47.4	Viruses	Cattle	TX	GCA_039465185.1
Influenza A virus	45.8	35.9	45.5	Viruses	Cattle	MI	GCA_039465695.1
Influenza A virus	45.8	36.1	46.2	Viruses	Cattle	MI	GCA_039465735.1
Influenza A virus	45.8	36	46.6	Viruses	Cattle	OH	GCA_039465515.1
Influenza A virus	45.8	35.3	48.9	Viruses	Cattle	NC	GCA_039465935.1
Influenza A virus	45.8	35.9	46.4	Viruses	Chicken	MI	GCA_039465835.1
Influenza A virus	45.9	36	46.5	Viruses	Grackle	TX	GCA_039580825.1
Influenza A virus	45.8	35.7	46.4	Viruses	Chicken	MI	GCA_039466035.1
Influenza A virus	45.8	35.7	49.2	Viruses	Cattle	NM	GCA_039465815.1
Influenza A virus	45.9	33.1	47	Viruses	Cattle	NM	GCA_039826725.1
Influenza A virus	45.9	35.5	47.2	Viruses	Cattle	SD	GCA_039465995.1
Influenza A virus	45.8	35.9	46.4	Viruses	Chicken	MI	GCA_039465855.1
Influenza A virus	45.8	33	48.3	Viruses	Cattle	NM	GCA_039826705.1
Influenza A virus	45.8	36	46.5	Viruses	Chicken	TX	GCA_039465875.1
Influenza A virus	45.9	36.1	46.5	Viruses	Grackle	TX	GCA_039581095.1
Influenza A virus	45.8	35.9	49.1	Viruses	Cattle	TX	GCA_039465915.1
Influenza A virus	45.8	33	47.4	Viruses	Cattle	MI	GCA_039465895.1
Influenza A virus	45.8	33.1	46.6	Viruses	Chicken	MI	GCA_039875865.1
Influenza A virus	45.8	33	48.3	Viruses	Cattle	SD	GCA_039827555.1
Influenza A virus	45.8	33.1	47.5	Viruses	Cattle	SD	GCA_039826865.1
Influenza A virus	45.9	33	50.1	Viruses	Cattle	SD	GCA_039827635.1
Influenza A virus	45.8	33.1	48.2	Viruses	Cattle	SD	GCA_039826905.1
Influenza A virus	49.8	33.1	47.2	Viruses	Cattle	SD	GCA_039827575.1
Influenza A virus	45.8	33.1	47.6	Viruses	Cattle	SD	GCA_039826925.1
Influenza A virus	45.8	33.1	47.4	Viruses	Cattle	SD	GCA_039827615.1
Influenza A virus	45.8	33	49.8	Viruses	Cattle	SD	GCA_039826885.1
Influenza A virus	45.8	33.1	47	Viruses	Cattle	SD	GCA_039826935.1
Influenza A virus	45.8	33.1	47.1	Viruses	Cattle	NM	GCA_039827375.1
Influenza A virus	45.7	33.1	47.2	Viruses	Cattle	SD	GCA_039826955.1
Influenza A virus	45.8	33.1	47.2	Viruses	Cattle	SD	GCA_039827595.1
Influenza A virus	45.8	33	46.7	Viruses	Cattle	NM	GCA_039827415.1
Influenza A virus	45.8	33	47.9	Viruses	Cattle	NM	GCA_039827395.1
Influenza A virus	45.8	37.6	47.4	Viruses	Cattle	OH	GCA_040779595.1
Influenza A virus	45.8	37.6	46.3	Viruses	Cattle	MI	GCA_040779705.1
Influenza A virus	45.8	37.2	47.4	Viruses	Cattle	OH	GCA_040779575.1
Influenza A virus	49.8	35.6	46.7	Viruses	Cattle	CO	GCA_040779885.1
Influenza A virus	45.7	37.7	47.2	Viruses	Cattle	OH	GCA_040779605.1
Influenza A virus	45.8	37.6	46.4	Viruses	Cattle	MI	GCA_040779695.1
Influenza A virus	45.9	35.7	47.2	Viruses	Grackle	TX	GCA_040089135.1
Influenza A virus	45.9	36.1	46.6	Viruses	Turkey	MN	GCA_040779815.1
Influenza A virus	45.6	35.6	46.9	Viruses	Cattle	CO	GCA_040779895.1
Influenza A virus	45.7	32.9	46.8	Viruses	Chicken	ID	GCA_040779915.1
Influenza A virus	45.8	37	47	Viruses	Cattle	SD	GCA_040779835.1
Influenza A virus	45.7	36.2	46.2	Viruses	Chicken	TX	GCA_040779615.1
Influenza A virus	45.8	37.5	47.8	Viruses	Cattle	OH	GCA_040779585.1
Influenza A virus	45.8	35.8	46.1	Viruses	Cattle	MI	GCA_040779645.1
Influenza A virus	45.8	32.7	47.9	Viruses	Cattle	ID	GCA_040779935.1
Influenza A virus	45.8	36.2	46.5	Viruses	Chicken	TX	GCA_040779625.1
Influenza A virus	45.8	37.6	46.4	Viruses	Cattle	MI	GCA_040779715.1
Influenza A virus	45.9	36	46.5	Viruses	Turkey	MN	GCA_040779825.1
Influenza A virus	45.8	35.8	47.1	Viruses	Cattle	ID	GCA_040779995.1
Influenza A virus	45.8	36.3	46.5	Viruses	Chicken	TX	GCA_040780085.1
Influenza A virus	45.8	37.3	47.2	Viruses	Cattle	OH	GCA_040780045.1
Influenza A virus	45.8	35.9	46.7	Viruses	Cattle	ID	GCA_040779955.1
Influenza A virus	45.8	34.1	46.3	Viruses	Chicken	TX	GCA_040780105.1
Influenza A virus	45.8	33	49.3	Viruses	Cattle	ID	GCA_040780055.1
Influenza A virus	45.9	37.6	47.3	Viruses	Cattle	OH	GCA_040780025.1
Influenza A virus	45.6	32.9	46.9	Viruses	Cattle	CO	GCA_040780215.1
Influenza A virus	45.8	32.9	46.3	Viruses	Cattle	ID	GCA_040780115.1
Influenza A virus	45.8	32.9	47	Viruses	Cattle	ID	GCA_040780075.1
Influenza A virus	45.9	35.3	46.6	Viruses	Cattle	ID	GCA_040780035.1
Influenza A virus	45.8	32.8	46.2	Viruses	Cattle	ID	GCA_040780175.1
Influenza A virus	45.9	37.7	46.8	Viruses	Cattle	OH	GCA_040780005.1
Influenza A virus	45.8	32.8	47.2	Viruses	Cattle	ID	GCA_040780095.1
Influenza A virus	45.8	34.7	46.4	Viruses	Chicken	TX	GCA_040780065.1
Influenza A virus	45.8	32.9	47	Viruses	Cattle	ID	GCA_040780155.1
Influenza A virus	45.6	32.8	47.5	Viruses	Cattle	CO	GCA_040780195.1
Influenza A virus	45.8	32.8	46.2	Viruses	Cattle	ID	GCA_040780015.1
Influenza A virus	45.8	32.9	46.2	Viruses	Cattle	ID	GCA_040780135.1
Influenza A virus	45.7	32.9	46.5	Viruses	Cattle	ID	GCA_040779975.1
Influenza A virus	45.8	35.8	46.5	Viruses	Chicken	ID	GCA_040780275.1
Influenza A virus	45.6	33	47.2	Viruses	Cattle	CO	GCA_040780235.1
Influenza A virus	45.7	32.8	47.6	Viruses	Cattle	CO	GCA_040780415.1
Influenza A virus	45.8	37.5	46.3	Viruses	Cattle	MI	GCA_040780245.1
Influenza A virus	45.8	35.8	46.9	Viruses	Turkey	MN	GCA_040780295.1
Influenza A virus	45.8	33	46.9	Viruses	Cattle	ID	GCA_040780255.1
Influenza A virus	45.8	37.7	46.2	Viruses	Cattle	MI	GCA_040780225.1
Influenza A virus	45.6	32.9	47.7	Viruses	Cattle	CO	GCA_040780435.1
Influenza A virus	45.8	37.5	46.3	Viruses	Cattle	MI	GCA_040780265.1
Influenza A virus	45.8	37.5	47	Viruses	Cattle	MI	GCA_040780285.1
Influenza A virus	45.7	37.6	47.8	Viruses	Cattle	MI	GCA_040780345.1
Influenza A virus	45.9	36	46	Viruses	Turkey	MN	GCA_040780485.1
Influenza A virus	45.8	32.9	46.7	Viruses	Cattle	ID	GCA_040780695.1
Influenza A virus	45.9	36.1	46.3	Viruses	Turkey	MN	GCA_040780465.1
Influenza A virus	45.7	32.9	47.9	Viruses	Cattle	CO	GCA_040780775.1
Influenza A virus	45.8	35.9	46.9	Viruses	Cattle	ID	GCA_040780675.1
Influenza A virus	45.8	32.7	46.4	Viruses	Cattle	ID	GCA_040780645.1
Influenza A virus	45.6	35.6	47.1	Viruses	Cattle	CO	GCA_040780605.1
Influenza A virus	45.9	36.1	46.5	Viruses	Turkey	MN	GCA_040780505.1
Influenza A virus	45.7	32.8	47.5	Viruses	Cattle	CO	GCA_040780455.1
Influenza A virus	45.8	32.8	47.2	Viruses	Cattle	ID	GCA_040780725.1
Influenza A virus	45.6	35.6	46.8	Viruses	Cattle	CO	GCA_040780615.1
Influenza A virus	45.5	35.6	46.6	Viruses	Cattle	CO	GCA_040780625.1
Influenza A virus	45.7	32.9	48	Viruses	Cattle	ID	GCA_040780765.1
Influenza A virus	45.8	35.9	46.7	Viruses	Chicken	ID	GCA_040780815.1
Influenza A virus	45.8	32.6	46.8	Viruses	Cattle	ID	GCA_040780685.1
Influenza A virus	45.8	32.9	46.3	Viruses	Cattle	ID	GCA_040780745.1
Influenza A virus	45.8	32.9	47.7	Viruses	Cattle	ID	GCA_040780655.1
Influenza A virus	45.8	33	47.1	Viruses	Cattle	ID	GCA_040780805.1
Influenza A virus	45.8	32.8	47.4	Viruses	Cattle	ID	GCA_040780705.1
Influenza A virus	45.8	36	46.8	Viruses	Cattle	ID	GCA_040780635.1
Influenza A virus	45.7	35.6	45.9	Viruses	Chicken	IA	GCA_040780475.1
Influenza A virus	45.8	32.9	45.8	Viruses	Cattle	ID	GCA_040780755.1
Influenza A virus	45.8	32.9	46.5	Viruses	Chicken	ID	GCA_040780795.1
Influenza A virus	45.8	32.9	47.1	Viruses	Cattle	ID	GCA_040780735.1
Influenza A virus	45.8	32.8	47.1	Viruses	Cattle	ID	GCA_040780665.1
Influenza A virus	45.8	32.9	45.2	Viruses	Cattle	ID	GCA_040780715.1
Influenza A virus	45.6	32.9	46.8	Viruses	Cattle	CO	GCA_040780785.1
Influenza A virus	45.7	35.6	46.4	Viruses	Chicken	IA	GCA_040780905.1
Influenza A virus	45.7	32.9	47.2	Viruses	Cattle	WY	GCA_040888535.1
Influenza A virus	45.7	32.8	47.6	Viruses	Cattle	CO	GCA_040780885.1
Influenza A virus	45.7	32.9	47.3	Viruses	Cattle	WY	GCA_040888525.1
Influenza A virus	45.7	32.9	47.5	Viruses	Cattle	WY	GCA_040888485.1
Influenza A virus	45.7	36.2	46.3	Viruses	Turkey	MI	GCA_040888415.1
Influenza A virus	45.8	33	45.9	Viruses	Cat	NM	GCA_040888435.1
Influenza A virus	45.8	32.9	45.8	Viruses	Cattle	TX	GCA_040888445.1
Influenza A virus	45.7	32.9	46.9	Viruses	Cattle	WY	GCA_040888555.1
Influenza A virus	45.8	35.8	46.2	Viruses	Chicken	MI	GCA_040888405.1
Influenza A virus	45.8	33	46	Viruses	Cat	NM	GCA_040888425.1
Influenza A virus	45.7	32.8	47.2	Viruses	Cattle	CO	GCA_040780875.1
Influenza A virus	45.7	33	47.3	Viruses	Cattle	WY	GCA_040888565.1
Influenza A virus	45.7	32.9	47	Viruses	Cattle	WY	GCA_040888505.1
Influenza A virus	45.8	36.1	46.3	Viruses	Chicken	MI	GCA_040888395.1
Influenza A virus	45.8	33.1	46.3	Viruses	Fox	MI	GCA_040888465.1
Influenza A virus	45.7	32.8	47.9	Viruses	Cattle	CO	GCA_040780895.1
Influenza A virus	45.8	33.1	48.1	Viruses	Fox	MI	GCA_040888475.1
Influenza A virus	45.7	32.8	46.8	Viruses	Cattle	WY	GCA_040888545.1
Influenza A virus	45.8	33	47.2	Viruses	Fox	MI	GCA_040888455.1
Influenza A virus	45.8	32.8	46.3	Viruses	Turkey	MI	GCA_040888835.1
Influenza A virus	45.7	32.9	47	Viruses	Cattle	WY	GCA_040888585.1
Influenza A virus	45.8	32.9	46.4	Viruses	Cattle	TX	GCA_040888745.1
Influenza A virus	45.7	32.9	47.2	Viruses	Cattle	WY	GCA_040888605.1
Influenza A virus	49.8	32.9	47.3	Viruses	Cattle	TX	GCA_040888785.1
Influenza A virus	45.7	35.8	47	Viruses	Cattle	WY	GCA_040888705.1
Influenza A virus	45.7	35.8	46.7	Viruses	Cattle	WY	GCA_040888655.1
Influenza A virus	45.6	32.9	47	Viruses	Cattle	TX	GCA_040888805.1
Influenza A virus	45.7	36.2	46.2	Viruses	Turkey	MI	GCA_040888755.1
Influenza A virus	45.8	33.1	46.5	Viruses	Cat	NM	GCA_040888775.1
Influenza A virus	45.7	35.8	47	Viruses	Cattle	WY	GCA_040888665.1
Influenza A virus	45.8	32.9	47.9	Viruses	Cattle	TX	GCA_040888845.1
Influenza A virus	45.7	35.8	46.8	Viruses	Cattle	WY	GCA_040888685.1
Influenza A virus	45.7	35.7	46.5	Viruses	Cattle	WY	GCA_040888645.1
Influenza A virus	45.8	32.8	48.3	Viruses	Cattle	TX	GCA_040888765.1
Influenza A virus	45.7	35.7	47.5	Viruses	Cattle	WY	GCA_040888635.1
Influenza A virus	45.8	32.9	48	Viruses	Cattle	TX	GCA_040888825.1
Influenza A virus	45.7	35.8	47.2	Viruses	Cattle	WY	GCA_040888625.1
Influenza A virus	45.7	35.7	47.1	Viruses	Cattle	WY	GCA_040888615.1
Influenza A virus	45.8	32.7	46.1	Viruses	Cattle	TX	GCA_040888815.1
Influenza A virus	45.7	33	47.1	Viruses	Cattle	WY	GCA_040888595.1
Influenza A virus	45.8	33	46.7	Viruses	Cat	NM	GCA_040888795.1
Influenza A virus	45.7	35.8	47.6	Viruses	Cattle	WY	GCA_040888725.1
Influenza A virus	45.7	32.8	47.1	Viruses	Cattle	WY	GCA_040888575.1
Influenza A virus	45.7	32.8	49.2	Viruses	Cattle	WY	GCA_040889015.1
Influenza A virus	45.7	32.9	47.2	Viruses	Cattle	WY	GCA_040888935.1
Influenza A virus	45.7	32.9	48.6	Viruses	Cattle	WY	GCA_040888995.1
Influenza A virus	45.7	32.9	47	Viruses	Cattle	WY	GCA_040889035.1
Influenza A virus	46	35.8	46.7	Viruses	Cattle	ID	GCA_040888925.1
Influenza A virus	46	35.7	48	Viruses	Cattle	ID	GCA_040888905.1
Influenza A virus	45.7	32.9	48	Viruses	Cattle	WY	GCA_040888975.1
