organism_name	infraspecific_name	lineage	taxonomy_id	bco_id	schema_version	bioproject	biosample	strain	sra_run_id	genome_assembly_id	sample_name	instrument	isolate	collected_by	collection_date	geo_loc_name	isolation_source	lat_lon	culture_collection	host	host_age	host_description	host_disease	host_disease_outcome	host_disease_stage	host_health_state	host_sex	id_method
Influenza A virus	24-005146-001-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41106763		SRR28834886	GCA_039452055.1	Viral sample from Influenza A virus	Illumina MiSeq	24-005146-001-original		2024	USA	N/A			Canada Goose								
Influenza A virus	24-004881-002-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41106761		SRR28834940	GCA_039438925.1	Viral sample from Influenza A virus	Illumina MiSeq	24-004881-002-original		2024	USA	N/A			Snow Goose								
Influenza A virus	24-009110-019-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019265		SRR28752587	GCA_039461725.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009110-019-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009776-015-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019355		SRR28752490	GCA_039461785.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009776-015-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009290-006-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019279		SRR28752680	GCA_039461355.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009290-006-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009110-012-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019259		SRR28752593	GCA_039461665.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009110-012-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009775-001-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019351		SRR28752494	GCA_039461695.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009775-001-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009088-001-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019231		SRR28752453	GCA_039461335.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009088-001-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009110-003-original-repeat		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019250		SRR28752603	GCA_039461585.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009110-003-original-repeat		2024	USA	N/A			Cattle								
Influenza A virus	24-009499-001-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019335		SRR28752555	GCA_039462415.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009499-001-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009110-001-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019248		SRR28752605	GCA_039461565.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009110-001-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009309-001-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019285		SRR28752674	GCA_039462255.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009309-001-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009110-017-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019263		SRR28752589	GCA_039461705.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009110-017-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009110-005-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019252		SRR28752601	GCA_039461605.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009110-005-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009311-006-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019293		SRR28752665	GCA_039462295.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009311-006-original		2024	USA	N/A			Cat								
Influenza A virus	24-009110-010-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019257		SRR28752596	GCA_039461645.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009110-010-original		2024	USA	N/A			Cattle								
Influenza A virus	24-007264-003-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019183		SRR28752457	GCA_039459945.1	Viral sample from Influenza A virus	Illumina MiSeq	24-007264-003-original		2024	USA	N/A			Chicken								
Influenza A virus	24-009110-002-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019249		SRR28752604	GCA_039462565.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009110-002-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009110-007-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019254		SRR28752599	GCA_039461625.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009110-007-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009088-002-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019232		SRR28752452	GCA_039462305.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009088-002-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009110-004-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019251		SRR28752602	GCA_039462585.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009110-004-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009290-001-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019277		SRR28752510	GCA_039461345.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009290-001-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009776-001-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019352		SRR28752493	GCA_039460755.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009776-001-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009776-004-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019354		SRR28752491	GCA_039460775.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009776-004-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009290-005-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019278		SRR28752681	GCA_039462325.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009290-005-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009110-015-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019261		SRR28752591	GCA_039461685.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009110-015-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009110-008-original-repeat		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019255		SRR28752598	GCA_039462625.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009110-008-original-repeat		2024	USA	N/A			Cattle								
Influenza A virus	24-009110-020-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019266		SRR28752586	GCA_039462725.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009110-020-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009110-016-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019262		SRR28752590	GCA_039462685.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009110-016-original		2024	USA	N/A			Cattle								
Influenza A virus	24-008749-008-original-repeat		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019205		SRR28752525	GCA_039462775.1	Viral sample from Influenza A virus	Illumina MiSeq	24-008749-008-original-repeat		2024	USA	N/A			Cattle								
Influenza A virus	24-009110-014-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019260		SRR28752592	GCA_039462665.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009110-014-original		2024	USA	N/A			Cattle								
Influenza A virus	24-008749-005-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019201		SRR28752538	GCA_039462755.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-008749-005-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009110-006-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019253		SRR28752600	GCA_039462605.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009110-006-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009308-004-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019282		SRR28752677	GCA_039462615.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009308-004-original		2024	USA	N/A			Cattle								
Influenza A virus	24-008660-001-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019194		SRR28752509	GCA_039462695.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-008660-001-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009308-008-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019284		SRR28752675	GCA_039462635.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009308-008-original		2024	USA	N/A			Cattle								
Influenza A virus	24-008749-003-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019198		SRR28752635	GCA_039462735.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-008749-003-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009110-011-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019258		SRR28752594	GCA_039462645.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009110-011-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009110-022-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019268		SRR28752519	GCA_039462745.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009110-022-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009110-024-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019270		SRR28752517	GCA_039462765.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009110-024-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009108-004-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019236		SRR28752448	GCA_039462895.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009108-004-original		2024	USA	N/A			Cattle								
Influenza A virus	24-010513-004-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019413		SRR28752532	GCA_039463035.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-010513-004-original		2024	USA	N/A			Cattle								
Influenza A virus	24-010331-001-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019389		SRR28752622	GCA_039462805.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-010331-001-original		2024	USA	N/A			Cattle								
Influenza A virus	24-010513-002-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019411		SRR28752534	GCA_039463015.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-010513-002-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009028-007-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019225		SRR28752460	GCA_039462815.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009028-007-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009087-001-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019230		SRR28752454	GCA_039462855.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009087-001-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009108-002-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019234		SRR28752450	GCA_039462875.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009108-002-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009109-003-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019242		SRR28752612	GCA_039462955.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009109-003-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009110-026-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019272		SRR28752515	GCA_039462785.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009110-026-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009109-005-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019244		SRR28752610	GCA_039462975.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009109-005-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009028-003-original-MTM		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019223		SRR28752462	GCA_039462795.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009028-003-original-MTM		2024	USA	N/A			Cattle								
Influenza A virus	24-009109-007-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019246		SRR28752608	GCA_039462995.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009109-007-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009108-006-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019238		SRR28752616	GCA_039462915.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009108-006-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009028-009-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019227		SRR28752458	GCA_039462835.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009028-009-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009109-001-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019240		SRR28752614	GCA_039462935.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009109-001-original		2024	USA	N/A			Cattle								
Influenza A virus	24-010194-001-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019369		SRR28752645	GCA_039463025.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-010194-001-original		2024	USA	N/A			Cattle								
Influenza A virus	24-008749-004-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019199		SRR28752624	GCA_039463755.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-008749-004-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009495-008-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019318		SRR28752573	GCA_039463325.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009495-008-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009311-004-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019292		SRR28752666	GCA_039463295.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009311-004-original		2024	USA	N/A			Cat								
Influenza A virus	24-008749-002-v		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019197		SRR28752647	GCA_039463735.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-008749-002-v		2024	USA	N/A			Cattle								
Influenza A virus	24-009495-012-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019322		SRR28752569	GCA_039463365.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009495-012-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009310-005-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019288		SRR28752670	GCA_039463205.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009310-005-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009310-007-original-repeat		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019290		SRR28752668	GCA_039463225.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009310-007-original-repeat		2024	USA	N/A			Cattle								
Influenza A virus	24-009116-004-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019275		SRR28752512	GCA_039463075.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009116-004-original		2024	USA	N/A			Cat								
Influenza A virus	24-008749-007-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019204		SRR28752526	GCA_039463775.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-008749-007-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009027-001-v		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019214		SRR28752472	GCA_039463725.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009027-001-v		2024	USA	N/A			Cattle								
Influenza A virus	24-009495-003-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019317		SRR28752575	GCA_039463285.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009495-003-original		2024	USA	N/A			Cattle								
Influenza A virus	24-008767-001-v		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019211		SRR28752475	GCA_039463695.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-008767-001-v		2024	USA	N/A			Cattle								
Influenza A virus	24-009027-004-original-repeat		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019218		SRR28752467	GCA_039463745.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009027-004-original-repeat		2024	USA	N/A			Cattle								
Influenza A virus	24-008850-002-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019213		SRR28752473	GCA_039463115.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-008850-002-original		2024	USA	N/A			Cat								
Influenza A virus	24-009495-010-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019320		SRR28752571	GCA_039463345.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009495-010-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009027-010-original-repeat		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019220		SRR28752465	GCA_039463765.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009027-010-original-repeat		2024	USA	N/A			Cattle								
Influenza A virus	24-009310-010-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019291		SRR28752667	GCA_039463245.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009310-010-original		2024	USA	N/A			Cattle								
Influenza A virus	24-008764-001-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019206		SRR28752524	GCA_039463505.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-008764-001-original		2024	USA	N/A			Cat								
Influenza A virus	24-009308-006-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019283		SRR28752676	GCA_039463635.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009308-006-original		2024	USA	N/A			Cattle								
Influenza A virus	24-008660-002-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019195		SRR28752498	GCA_039463715.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-008660-002-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009028-005-original-repeat		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019224		SRR28752461	GCA_039463815.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009028-005-original-repeat		2024	USA	N/A			Cattle								
Influenza A virus	24-009497-010-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019331		SRR28752559	GCA_039463945.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009497-010-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009109-002-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019241		SRR28752613	GCA_039463955.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009109-002-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009108-003-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019235		SRR28752449	GCA_039463895.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009108-003-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009028-008-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019226		SRR28752459	GCA_039463835.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009028-008-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009497-006-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019327		SRR28752564	GCA_039463905.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009497-006-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009109-004-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019243		SRR28752611	GCA_039463975.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009109-004-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009108-005-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019237		SRR28752447	GCA_039463915.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009108-005-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009028-019-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019228		SRR28752456	GCA_039463855.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009028-019-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009497-012-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019333		SRR28752557	GCA_039463965.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009497-012-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009108-001-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019233		SRR28752451	GCA_039463875.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009108-001-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009109-006-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019245		SRR28752609	GCA_039463995.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009109-006-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009108-007-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019239		SRR28752615	GCA_039463935.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009108-007-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009497-004-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019325		SRR28752566	GCA_039463885.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009497-004-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009306-003-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019280		SRR28752679	GCA_039463985.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009306-003-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009497-008-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019329		SRR28752561	GCA_039463925.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009497-008-original		2024	USA	N/A			Cattle								
Influenza A virus	24-010513-003-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019412		SRR28752533	GCA_039464035.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-010513-003-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009116-002-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019274		SRR28752513	GCA_039464075.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009116-002-original		2024	USA	N/A			Cat								
Influenza A virus	24-009116-005-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019276		SRR28752511	GCA_039464095.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009116-005-original		2024	USA	N/A			Cat								
Influenza A virus	24-009109-008-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019247		SRR28752607	GCA_039464015.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009109-008-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009029-001-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019229		SRR28752455	GCA_039464235.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009029-001-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009310-006-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019289		SRR28752669	GCA_039464255.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-009310-006-original		2024	USA	N/A			Cattle								
Influenza A virus	24-010513-007-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019415		SRR28752530	GCA_039464055.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-010513-007-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009367-012-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019303		SRR28752654	GCA_039464085.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009367-012-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009367-014-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019305		SRR28752652	GCA_039464105.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009367-014-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009367-007-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019299		SRR28752658	GCA_039464045.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009367-007-original		2024	USA	N/A			Cattle								
Influenza A virus	24-008850-001-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019212		SRR28752474	GCA_039464115.1	Viral sample from Influenza A virus	Illumina iSeq 100	24-008850-001-original		2024	USA	N/A			Cat								
Influenza A virus	24-009367-010-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019301		SRR28752656	GCA_039464065.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009367-010-original		2024	USA	N/A			Cattle								
Influenza A virus	24-009367-018-original		11320	ARGOS_000088	v1.6	PRJNA1102327	SAMN41019307		SRR28752650	GCA_039464125.1	Viral sample from Influenza A virus	Illumina MiSeq	24-009367-018-original		2024	USA	N/A			Cattle								
